EQUIPMENT ID,LINE CODE,DESCRIPTION,MANUFACTURER,LENGTH,WIDTH,LACING,V GROOVE/NON V GROVE,BELT MATERIAL
C002,162-DB MIG 7,FINAL,POWERPACK,"24' 8""","24""",SS CLIPPER LACE,NON,GREEN G240 FBS NON-WOVEN POLYESTER SQED
C015,68-FSF#5,LEFT MAIN,POWERPACK,21',"60""",SS CLIPPER LACE,V GROOVE,WHITE URETHANE
C016,68-FSF#5,RIGHT MAIN,POWERPACK,21',"60""",SS CLIPPER LACE,V GROOVE,WHITE URETHANE
C017,186-RWH#4,LEFT MAIN,POWERPACK,"18' 8""","44""",SS CLIPPER LACE,NON,WHITE URETHANE
C018,186-RWH#4,RIGHT MAIN,POWERPACK,"18' 8""","44""",SS CLIPPER LACE,NON,WHITE URETHANE
C019,240-CMBR MID LWR,SIDE SUB,POWERPACK,"40' 8""","24""",SS CLIPPER LACE,NON,WHITE URETHANE
C020,239-FR WH UP MBR/CMBR LWR RR FLR,UPPER SUB,POWERPACK,"24' 8""","12""",SS CLIPPER LACE,NON,WHITE URETHANE
C021,239-FR WH UP MBR/CMBR LWR RR FLR,UPPER SUB MAIN,POWERPACK,"60' 8""","12""",SS CLIPPER LACE,NON,WHITE URETHANE
C022,125-BH#2,FINAL,POWERPACK,"16' 11""","60""",SS CLIPPER LACE,NON,WHITE URETHANE
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
